Serial.No.	Content ID	Reaction Type	Datetime	User ID	Content Type	Category	Sentiment	Score
0	97522e57-d9ab-4bd6-97bf-c24d952602d2	disgust	07-11-20 9:43	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	0
1	97522e57-d9ab-4bd6-97bf-c24d952602d2	dislike	17-06-21 12:22	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	10
2	97522e57-d9ab-4bd6-97bf-c24d952602d2	scared	18-04-21 5:13	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	15
3	97522e57-d9ab-4bd6-97bf-c24d952602d2	disgust	06-01-21 19:13	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	0
4	97522e57-d9ab-4bd6-97bf-c24d952602d2	interested	23-08-20 12:25	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	30
5	97522e57-d9ab-4bd6-97bf-c24d952602d2	peeking	07-12-20 6:27	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	35
6	97522e57-d9ab-4bd6-97bf-c24d952602d2	cherish	11-04-21 17:35	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	70
7	97522e57-d9ab-4bd6-97bf-c24d952602d2	hate	27-01-21 8:32	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	5
8	97522e57-d9ab-4bd6-97bf-c24d952602d2	peeking	01-04-21 22:54	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	35
9	97522e57-d9ab-4bd6-97bf-c24d952602d2	love	04-08-20 5:05	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	65
10	97522e57-d9ab-4bd6-97bf-c24d952602d2	indifferent	07-11-20 8:36	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	20
11	97522e57-d9ab-4bd6-97bf-c24d952602d2	scared	02-11-20 6:28	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	15
12	97522e57-d9ab-4bd6-97bf-c24d952602d2	interested	01-11-20 1:16	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	30
13	97522e57-d9ab-4bd6-97bf-c24d952602d2	hate	07-10-20 18:39	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	5
14	97522e57-d9ab-4bd6-97bf-c24d952602d2	scared	03-09-20 18:51	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	15
15	97522e57-d9ab-4bd6-97bf-c24d952602d2	super love	24-02-21 5:09	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	75
16	97522e57-d9ab-4bd6-97bf-c24d952602d2	peeking	23-09-20 6:24	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	35
17	97522e57-d9ab-4bd6-97bf-c24d952602d2	indifferent	24-02-21 11:37	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	20
18	97522e57-d9ab-4bd6-97bf-c24d952602d2	interested	22-05-21 19:44	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	30
19	97522e57-d9ab-4bd6-97bf-c24d952602d2	intrigued	31-01-21 16:03	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	45
20	97522e57-d9ab-4bd6-97bf-c24d952602d2	peeking	20-11-20 17:26	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	35
21	97522e57-d9ab-4bd6-97bf-c24d952602d2	worried	11-04-21 20:47	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	12
22	97522e57-d9ab-4bd6-97bf-c24d952602d2	like	13-06-21 16:46	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	50
23	97522e57-d9ab-4bd6-97bf-c24d952602d2	heart	11-04-21 14:29	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	60
24	97522e57-d9ab-4bd6-97bf-c24d952602d2	worried	02-03-21 19:21	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	12
25	97522e57-d9ab-4bd6-97bf-c24d952602d2	hate	27-06-20 18:44	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	5
26	97522e57-d9ab-4bd6-97bf-c24d952602d2	hate	09-05-21 21:05	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	5
27	97522e57-d9ab-4bd6-97bf-c24d952602d2	cherish	04-08-20 23:58	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	70
28	97522e57-d9ab-4bd6-97bf-c24d952602d2	super love	28-08-20 3:57	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	75
29	97522e57-d9ab-4bd6-97bf-c24d952602d2	intrigued	25-08-20 8:21	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	45
30	97522e57-d9ab-4bd6-97bf-c24d952602d2	scared	20-04-21 23:48	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	15
31	97522e57-d9ab-4bd6-97bf-c24d952602d2	interested	07-03-21 12:40	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	30
32	97522e57-d9ab-4bd6-97bf-c24d952602d2	indifferent	24-05-21 3:21	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	20
33	97522e57-d9ab-4bd6-97bf-c24d952602d2	super love	24-01-21 11:03	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	75
34	97522e57-d9ab-4bd6-97bf-c24d952602d2	disgust	09-04-21 2:46	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	0
35	97522e57-d9ab-4bd6-97bf-c24d952602d2	super love	02-02-21 3:43	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	75
36	97522e57-d9ab-4bd6-97bf-c24d952602d2	interested	04-02-21 3:06	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	30
37	97522e57-d9ab-4bd6-97bf-c24d952602d2	dislike	09-11-20 2:49	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	10
38	97522e57-d9ab-4bd6-97bf-c24d952602d2	scared	29-09-20 16:00	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	15
39	97522e57-d9ab-4bd6-97bf-c24d952602d2	dislike	29-11-20 21:33	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	10
40	97522e57-d9ab-4bd6-97bf-c24d952602d2	want	13-02-21 7:54	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	70
41	97522e57-d9ab-4bd6-97bf-c24d952602d2	interested	14-07-20 5:28	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	positive	30
42	97522e57-d9ab-4bd6-97bf-c24d952602d2	indifferent	23-08-20 10:30	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	neutral	20
43	97522e57-d9ab-4bd6-97bf-c24d952602d2	worried	10-05-21 9:27	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	12
44	97522e57-d9ab-4bd6-97bf-c24d952602d2	hate	15-03-21 3:59	8d3cd87d-8a31-4935-9a4f-b319bfe05f31	photo	studying	negative	5
45	9f737e0a-3cdd-4d29-9d24-753f4e3be810	dislike	25-06-20 17:01	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	negative	10
46	9f737e0a-3cdd-4d29-9d24-753f4e3be810	intrigued	13-09-20 0:11	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	45
47	9f737e0a-3cdd-4d29-9d24-753f4e3be810	peeking	20-08-20 18:17	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	neutral	35
